,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
194,Man Utd,Sheffield,1934,1602,1,3,A,35,10,28,30,39,6,W,2,7,9,11,1,2,1,2,0,0,3.2,3.6,2.2,3,18,20,W,3
195,Tottenham,Liverpool,1813,1910,0,2,A,30,42,17,21,32,37,L,3,3,13,6,7,12,3,4,0,0,1.55,4,6.5,9,2,20,L,0
196,Everton,Newcastle,1759,1500,1,0,H,32,22,24,31,35,22,L,2,4,7,10,1,6,1,2,0,0,2.87,3.2,2.55,15,4,20,L,0
197,Crystal Palace,Wolves,1690,1757,1,0,H,22,22,33,30,22,22,L,5,1,7,10,10,0,0,3,0,0,1.12,9,18,18,18,20,L,0
198,Man City,Sheffield,2013,1602,2,2,D,34,10,15,30,38,6,W,3,7,9,10,2,3,1,0,0,0,3.3,3.2,2.3,18,18,20,W,3
199,West Brom,Fulham,1624,1631,0,0,D,14,15,43,27,11,13,L,3,3,9,16,4,7,1,3,0,0,2.8,3.5,2.45,18,13,20,L,0
200,Arsenal,Man Utd,1830,1934,0,1,A,24,36,23,31,27,39,L,5,4,12,11,7,1,1,0,0,0,2.8,3.6,2.37,1,3,21,L,0
201,Southampton,Aston Villa,1693,1718,2,0,H,31,34,23,25,35,30,W,8,0,7,9,4,2,0,1,0,0,1.33,5,9.5,11,8,21,W,3
202,Chelsea,Burnley,1885,1711,1,3,A,32,12,22,25,30,20,D,8,7,17,16,6,4,0,3,0,0,1.8,4,4.2,6,18,21,D,1
203,Leicester,Leeds,1802,1727,1,3,A,37,35,22,36,41,29,W,2,5,7,8,6,5,2,0,0,0,4.33,4,1.75,20,5,21,W,3
204,West Ham,Liverpool,1804,1910,1,0,H,31,44,22,21,37,40,W,5,4,11,11,9,2,2,1,0,0,3.2,3.4,2.25,7,2,21,W,3
205,Brighton,Tottenham,1696,1813,2,1,H,22,31,29,19,18,32,D,6,4,11,9,9,2,2,1,0,0,2,3.3,4,18,9,21,D,1
206,Sheffield,West Brom,1602,1624,2,1,H,13,14,31,48,9,11,W,7,3,11,8,9,6,3,2,0,2,3.6,3.3,2.1,18,18,21,W,3
207,Wolves,Arsenal,1757,1830,9,0,H,22,24,30,23,23,27,D,14,1,11,6,5,3,2,3,0,2,1.4,4.75,7,18,1,21,D,1
208,Man Utd,Southampton,1934,1693,1,2,A,36,31,31,23,39,35,L,5,3,14,11,9,1,1,3,0,0,2.8,3.2,2.6,3,11,21,L,0
209,Newcastle,Crystal Palace,1500,1690,0,2,A,23,23,33,36,22,22,L,0,6,8,5,1,3,2,1,0,0,13,7,1.2,4,18,21,L,0
210,Burnley,Man City,1711,2013,0,2,A,12,38,27,17,20,42,L,1,5,17,10,5,2,3,1,0,0,4,3.5,1.9,18,18,22,L,0
211,Fulham,Leicester,1631,1802,1,2,A,16,38,29,25,14,41,L,7,6,12,12,7,1,2,3,0,0,2.5,3.5,2.7,13,20,22,L,0
212,Leeds,Everton,1727,1759,1,3,A,36,36,39,25,29,41,L,2,10,11,15,7,3,1,1,0,0,2.2,3.4,3.25,5,15,22,L,0
213,Aston Villa,West Ham,1718,1804,0,1,A,34,32,26,22,30,40,L,1,4,12,6,6,3,1,0,0,0,1.33,5.25,9,8,7,22,L,0
214,Liverpool,Brighton,1910,1696,0,1,A,44,24,22,30,40,21,L,2,2,20,14,2,7,2,3,0,0,3.5,3.4,2.1,2,18,22,L,0
215,Tottenham,Chelsea,1813,1885,1,0,H,32,33,19,25,35,30,W,8,3,12,12,3,7,3,2,0,0,2.62,3.5,2.6,9,6,22,W,3
216,Aston Villa,Arsenal,1718,1830,1,1,D,34,24,26,24,30,27,L,7,2,8,10,8,7,2,0,0,0,3.6,3.1,2.2,8,1,22,L,0
217,Burnley,Brighton,1711,1696,3,2,H,12,24,27,30,20,21,L,4,5,11,14,0,7,2,1,1,0,3,3.3,2.4,18,18,22,L,0
218,Newcastle,Southampton,1500,1693,0,0,D,23,33,34,24,22,38,L,2,1,11,10,7,3,1,2,0,1,3.6,3.5,2.05,4,11,22,L,0
219,Fulham,West Ham,1631,1804,3,3,D,16,32,29,22,14,40,L,5,3,14,10,5,1,2,1,0,0,1.53,4.2,6,13,7,22,L,0
220,Man Utd,Everton,1934,1759,2,0,H,38,36,33,27,42,41,L,6,1,16,12,8,0,1,2,0,0,1.45,4.5,7,3,15,23,L,0
221,Tottenham,West Brom,1813,1624,0,0,D,32,15,19,50,36,12,D,1,3,11,15,8,2,1,3,0,0,3.5,3.4,2.1,9,18,23,D,1
222,Wolves,Leicester,1757,1802,1,4,A,31,40,31,26,26,44,W,3,5,13,8,6,1,2,1,0,0,3.4,3.6,2.05,18,20,23,W,3
223,Liverpool,Man City,1910,2013,1,2,A,44,40,23,18,40,45,L,3,3,8,8,1,8,1,0,0,0,7,4.5,1.45,2,18,23,L,0
