,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM1Conv,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
30,Arsenal,Bournemouth,1830,1600,3,0,H,4,1,8,5,3,0,L,0,9,2,14,10,10,3,0,1,0,0,1.36,5.5,9,1,18,4,L,0
31,Brighton,West Brom,1696,1624,3,1,H,0,3,4,1,1,7,D,3,6,3,9,4,2,6,2,0,0,0,2.7,3.1,3,18,18,4,D,3
32,Everton,Tottenham,1759,1813,0,3,A,2,4,3,3,4,4,L,0,1,6,14,14,7,3,3,1,0,0,3.8,3.5,2.1,15,9,4,L,0
33,Leicester,Chelsea,1802,1885,1,2,A,5,6,6,4,3,6,L,0,2,6,11,8,2,9,1,0,0,0,4.75,3.9,1.8,20,6,4,L,0
34,Man City,Liverpool,2013,1910,5,0,H,5,8,2,3,7,7,W,5,7,3,10,9,8,3,2,2,0,1,1.85,4,4.2,18,2,4,W,5
35,Southampton,Watford,1693,1600,0,2,A,3,5,2,3,5,5,D,3,1,3,8,11,7,4,0,0,0,0,1.65,4,6,11,18,4,D,3
36,Stoke,Man United,1600,1600,2,2,D,2,10,2,0,4,9,D,3,5,8,10,10,5,11,0,0,0,0,7.5,4.5,1.5,18,3,4,D,3
37,Burnley,Crystal Palace,1711,1690,1,0,H,4,0,4,6,4,0,D,3,2,5,7,14,3,13,1,1,0,0,2.3,3.25,3.5,18,18,4,D,3
38,Swansea,Newcastle,1600,1500,0,1,A,2,3,4,3,4,3,W,5,4,8,11,15,7,5,2,3,0,0,2.4,3.25,3.3,18,4,4,W,5
39,West Ham,Huddersfield,1804,1600,2,0,H,2,4,10,0,0,7,L,0,3,2,11,14,10,3,1,2,0,0,1.95,3.5,4.5,7,18,4,L,0
40,Bournemouth,Brighton,1600,1696,2,1,H,1,3,8,5,0,4,L,0,3,2,5,12,6,4,0,0,0,0,2.15,3.4,3.8,18,18,5,L,0
41,Crystal Palace,Southampton,1690,1693,0,1,A,0,3,7,4,0,5,L,0,3,4,14,13,5,5,5,1,0,0,3,3.3,2.6,18,11,5,L,0
